k_vals,sd,gs,mu_vals,seed_inf_p,sims,age,pop,rebuild_pop_network
0.2,0,9999,2.5,0.001,40,US,10000,TRUE
0.15,0,9999,2.5,0.001,40,US,10000,TRUE
0.25,0,9999,2.5,0.001,40,US,10000,TRUE
0.2,0,10,2.5,0.001,40,US,10000,TRUE
0.2,0,15,2.5,0.001,40,US,10000,TRUE
0.2,0,20,2.5,0.001,40,US,10000,TRUE
0.15,0.1,10,2.5,0.001,40,US,10000,TRUE
0.2,0.1,10,2.5,0.001,40,US,10000,TRUE
0.25,0.1,10,2.5,0.001,40,US,10000,TRUE
0.15,0.1,15,2.5,0.001,40,US,10000,TRUE
0.2,0.1,15,2.5,0.001,40,US,10000,TRUE
0.25,0.1,15,2.5,0.001,40,US,10000,TRUE
0.15,0.1,20,2.5,0.001,40,US,10000,TRUE
0.2,0.1,20,2.5,0.001,40,US,10000,TRUE
0.25,0.1,20,2.5,0.001,40,US,10000,TRUE
0.15,0.25,10,2.5,0.001,40,US,10000,TRUE
0.2,0.25,10,2.5,0.001,40,US,10000,TRUE
0.25,0.25,10,2.5,0.001,40,US,10000,TRUE
0.15,0.25,15,2.5,0.001,40,US,10000,TRUE
0.2,0.25,15,2.5,0.001,40,US,10000,TRUE
0.25,0.25,15,2.5,0.001,40,US,10000,TRUE
0.15,0.25,20,2.5,0.001,40,US,10000,TRUE
0.2,0.25,20,2.5,0.001,40,US,10000,TRUE
0.25,0.25,20,2.5,0.001,40,US,10000,TRUE
0.15,0.5,10,2.5,0.001,40,US,10000,TRUE
0.2,0.5,10,2.5,0.001,40,US,10000,TRUE
0.25,0.5,10,2.5,0.001,40,US,10000,TRUE
0.15,0.5,15,2.5,0.001,40,US,10000,TRUE
0.2,0.5,15,2.5,0.001,40,US,10000,TRUE
0.25,0.5,15,2.5,0.001,40,US,10000,TRUE
0.15,0.5,20,2.5,0.001,40,US,10000,TRUE
0.2,0.5,20,2.5,0.001,40,US,10000,TRUE
0.25,0.5,20,2.5,0.001,40,US,10000,TRUE
0.2,0,9999,2.5,0.001,40,younger,10000,TRUE
0.15,0,9999,2.5,0.001,40,younger,10000,TRUE
0.25,0,9999,2.5,0.001,40,younger,10000,TRUE
0.2,0,10,2.5,0.001,40,younger,10000,TRUE
0.2,0,15,2.5,0.001,40,younger,10000,TRUE
0.2,0,20,2.5,0.001,40,younger,10000,TRUE
0.15,0.1,10,2.5,0.001,40,younger,10000,TRUE
0.2,0.1,10,2.5,0.001,40,younger,10000,TRUE
0.25,0.1,10,2.5,0.001,40,younger,10000,TRUE
0.15,0.1,15,2.5,0.001,40,younger,10000,TRUE
0.2,0.1,15,2.5,0.001,40,younger,10000,TRUE
0.25,0.1,15,2.5,0.001,40,younger,10000,TRUE
0.15,0.1,20,2.5,0.001,40,younger,10000,TRUE
0.2,0.1,20,2.5,0.001,40,younger,10000,TRUE
0.25,0.1,20,2.5,0.001,40,younger,10000,TRUE
0.15,0.25,10,2.5,0.001,40,younger,10000,TRUE
0.2,0.25,10,2.5,0.001,40,younger,10000,TRUE
0.25,0.25,10,2.5,0.001,40,younger,10000,TRUE
